Persona,Learning Path,Curriculum,Module Title,Module Level,Module Category,Module Topics Covered,Media Title,Media Link,Media Type,Media Topics Covered,Audience,Language,Author,Topic,Broader Topics,Narrower Topics,Event,Event Type,Sub Events
,,Open Knowledge Graph,Schema.org,,,,Schema.org,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/Mistral/24.%20module.md,Article,"rangeIncludes, domainIncludes",,English,Mistral,,,,,,
,,Open Knowledge Graph,Dublin Core,,,,Dublin Core,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/Mistral/25.%20module.md,Article,,,English,Mistral,,,,,,
,,Open Knowledge Graph,SOSA & SSN,,,,SOSA & SSN,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/Mistral/26.%20module.md,Article,,,English,Mistral,,,,,,
,,Open Knowledge Graph,PROV-O,,,,PROV-O,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/Mistral/27.%20module.md,Article,"Provenance, Lineage",,English,Mistral,,,,,,
,,Open Knowledge Graph,SKOS,,,,SKOS,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/Mistral/28.%20module.md,Article,,,English,Mistral,,,,,,
,,Open Knowledge Graph,Survey of Modeling Tools,,,,Survey of Modeling Tools,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/Mistral/29.%20module.md,Article,"Protege, TopBraid Composer, PoolParty, DataWorld",,English,Mistral,,,,,,
,,Open Knowledge Graph,Protege,,,,Protege,,Article,,,English,Mistral,,,,,,
,,Open Knowledge Graph,Deploying a Knowledge Graph,,,,Deploying a Knowledge Graph,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/Mistral/31.%20module.md,Article,,,English,Mistral,,,,,,
,,Open Knowledge Graph,Introduction to Knowledge Engineering,,,,Introduction to Knowledge Engineering,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/Mistral/32.%20module.md,Article,,,English,Mistral,,,,,,
,,Open Knowledge Graph,Reification,,,,Reification,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/Mistral/33.%20module.md,Article,"N-ary Relations, Blank Nodes",,English,Mistral,,,,,,
,,Open Knowledge Graph,GraphQL,,,,GraphQL,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/Mistral/34.%20module.md,Article,,,English,Mistral,,,,,,
,,Open Knowledge Graph,Survey of Documentation Practices,,,,Survey of Documentation Practices,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/Mistral/35.%20module.md,Article,,,English,Mistral,,,,,,
,,Open Knowledge Graph,Survey of Visualization Tools,,,,Survey of Visualization Tools,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/Mistral/36.%20module.md,Article,,,English,Mistral,,,,,,
,,Open Knowledge Graph,Introduction to Upper Ontologies,,,,Introduction to Upper Ontologies,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/Mistral/37.%20module.md,Article,,,English,Mistral,,,,,,
,,Open Knowledge Graph,Introduction to Modular Ontologies,,,,Introduction to Modular Ontologies,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/Mistral/38.%20module.md,Article,,,English,Mistral,,,,,,
,,Open Knowledge Graph,Survey of Triplestores,,,,Survey of Triplestores,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/Mistral/40.%20module.md,Article,,,English,Mistral,,,,,,
,,Open Knowledge Graph,History of the Semantic Web,,,,History of the Semantic Web,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/Mistral/41.%20module.md,Article,"Ontology, Semantic Web, Taxonomy, Linked Data, Knowledge Graph",,English,Mistral,,,,,,
,,Open Knowledge Graph,Property Graphs,,,,Property Graphs,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/Mistral/42.%20module.md,Article,,,English,Mistral,,,,,,
,,Open Knowledge Graph,Nanopublications,,,,Nanopublications,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/Mistral/43.%20module.md,Article,,,English,Mistral,,,,,,
,,Open Knowledge Graph,Survey of Reasoners,,,,Survey of Reasoners,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/Mistral/44.%20module.md,Article,"Complexity, Inference",,English,Mistral,,,,,,
,,Open Knowledge Graph,Entailment Regimes,,,,Entailment Regimes,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/Mistral/45.%20module.md,Article,Inference,,English,Mistral,,,,,,
